vp	vp	kod	nod	vud	mdflw	rbf	
2.970000e+00	3.679834e-01	1.957302e-01	2.664805e-02	4.026614e-01	1.192216e+00	1.218516e+00	
2.980000e+00	3.700624e-01	1.991132e-01	2.832251e-02	4.231460e-01	1.210931e+00	1.218516e+00	
2.990000e+00	3.721414e-01	2.024555e-01	2.998318e-02	4.434547e-01	1.229492e+00	1.218516e+00	
3.000000e+00	3.742204e-01	2.057594e-01	3.163023e-02	4.635907e-01	1.247900e+00	1.218516e+00	
3.010000e+00	3.762994e-01	2.090269e-01	3.326382e-02	4.835570e-01	1.266158e+00	1.218516e+00	
3.020000e+00	3.783784e-01	2.122595e-01	3.488412e-02	5.033562e-01	1.284268e+00	1.218516e+00	
3.030000e+00	3.804574e-01	2.154589e-01	3.649129e-02	5.229911e-01	1.302231e+00	1.218516e+00	
3.040000e+00	3.825364e-01	2.186261e-01	3.808548e-02	5.424639e-01	1.320049e+00	1.218516e+00	
3.050000e+00	3.846154e-01	2.217624e-01	3.966686e-02	5.617772e-01	1.337723e+00	1.218516e+00	
3.060000e+00	3.866944e-01	2.248687e-01	4.123557e-02	5.809330e-01	1.355256e+00	1.218516e+00	
3.070000e+00	3.887734e-01	2.279459e-01	4.279178e-02	5.999337e-01	1.372650e+00	1.218516e+00	
3.080000e+00	3.908524e-01	2.309947e-01	4.433562e-02	6.187813e-01	1.389905e+00	1.218516e+00	
3.090000e+00	3.929314e-01	2.340159e-01	4.586724e-02	6.374778e-01	1.407023e+00	1.218516e+00	
3.100000e+00	3.950104e-01	2.370102e-01	4.738680e-02	6.560252e-01	1.424007e+00	1.218516e+00	
3.110000e+00	3.970894e-01	2.399781e-01	4.889442e-02	6.744254e-01	1.440857e+00	1.218516e+00	
3.120000e+00	3.991684e-01	2.429203e-01	5.039025e-02	6.926803e-01	1.457576e+00	1.218516e+00	
3.130000e+00	4.012474e-01	2.458372e-01	5.187443e-02	7.107917e-01	1.474164e+00	1.218516e+00	
3.140000e+00	4.033264e-01	2.487293e-01	5.334709e-02	7.287613e-01	1.490623e+00	1.218516e+00	
3.150000e+00	4.054054e-01	2.515972e-01	5.480837e-02	7.465910e-01	1.506956e+00	1.218516e+00	
3.160000e+00	4.074844e-01	2.544412e-01	5.625839e-02	7.642824e-01	1.523162e+00	1.218516e+00	
3.170000e+00	4.095634e-01	2.572617e-01	5.769730e-02	7.818372e-01	1.539244e+00	1.218516e+00	
3.180000e+00	4.116424e-01	2.600592e-01	5.912520e-02	7.992570e-01	1.555204e+00	1.218516e+00	
3.190000e+00	4.137214e-01	2.628340e-01	6.054224e-02	8.165434e-01	1.571041e+00	1.218516e+00	
3.200000e+00	4.158004e-01	2.655865e-01	6.194852e-02	8.336979e-01	1.586759e+00	1.218516e+00	
3.210000e+00	4.178794e-01	2.683170e-01	6.334419e-02	8.507222e-01	1.602358e+00	1.218516e+00	
3.220000e+00	4.199584e-01	2.710259e-01	6.472934e-02	8.676178e-01	1.617839e+00	1.218516e+00	
3.230000e+00	4.220374e-01	2.737134e-01	6.610411e-02	8.843861e-01	1.633205e+00	1.218516e+00	
3.240000e+00	4.241164e-01	2.763800e-01	6.746861e-02	9.010285e-01	1.648455e+00	1.218516e+00	
3.250000e+00	4.261954e-01	2.790258e-01	6.882295e-02	9.175466e-01	1.663592e+00	1.218516e+00	
3.260000e+00	4.282744e-01	2.816511e-01	7.016724e-02	9.339418e-01	1.678617e+00	1.218516e+00	
3.270000e+00	4.303534e-01	2.842563e-01	7.150160e-02	9.502154e-01	1.693531e+00	1.218516e+00	
3.280000e+00	4.324324e-01	2.868416e-01	7.282614e-02	9.663687e-01	1.708335e+00	1.218516e+00	
3.290000e+00	4.345114e-01	2.894072e-01	7.414096e-02	9.824032e-01	1.723030e+00	1.218516e+00	
3.300000e+00	4.365904e-01	2.919535e-01	7.544618e-02	9.983202e-01	1.737618e+00	1.218516e+00	
3.310000e+00	4.386694e-01	2.944806e-01	7.674189e-02	1.014121e+00	1.752100e+00	1.218516e+00	
3.320000e+00	4.407484e-01	2.969889e-01	7.802819e-02	1.029807e+00	1.766477e+00	1.218516e+00	
3.330000e+00	4.428274e-01	2.994785e-01	7.930520e-02	1.045379e+00	1.780750e+00	1.218516e+00	
3.340000e+00	4.449064e-01	3.019496e-01	8.057301e-02	1.060838e+00	1.794920e+00	1.218516e+00	
3.350000e+00	4.469854e-01	3.044026e-01	8.183172e-02	1.076187e+00	1.808988e+00	1.218516e+00	
3.360000e+00	4.490644e-01	3.068376e-01	8.308143e-02	1.091425e+00	1.822955e+00	1.218516e+00	
3.370000e+00	4.511435e-01	3.092548e-01	8.432223e-02	1.106555e+00	1.836823e+00	1.218516e+00	
3.380000e+00	4.532225e-01	3.116544e-01	8.555421e-02	1.121577e+00	1.850593e+00	1.218516e+00	
3.390000e+00	4.553015e-01	3.140367e-01	8.677748e-02	1.136492e+00	1.864265e+00	1.218516e+00	
3.400000e+00	4.573805e-01	3.164019e-01	8.799213e-02	1.151302e+00	1.877841e+00	1.218516e+00	
3.410000e+00	4.594595e-01	3.187500e-01	8.919823e-02	1.166008e+00	1.891321e+00	1.218516e+00	
3.420000e+00	4.615385e-01	3.210815e-01	9.039590e-02	1.180610e+00	1.904707e+00	1.218516e+00	
3.430000e+00	4.636175e-01	3.233963e-01	9.158520e-02	1.195111e+00	1.918000e+00	1.218516e+00	
3.440000e+00	4.656965e-01	3.256948e-01	9.276623e-02	1.209510e+00	1.931200e+00	1.218516e+00	
3.450000e+00	4.677755e-01	3.279771e-01	9.393908e-02	1.223810e+00	1.944308e+00	1.218516e+00	
3.460000e+00	4.698545e-01	3.302433e-01	9.510383e-02	1.238011e+00	1.957326e+00	1.218516e+00	
3.470000e+00	4.719335e-01	3.324938e-01	9.626056e-02	1.252113e+00	1.970255e+00	1.218516e+00	
3.480000e+00	4.740125e-01	3.347285e-01	9.740936e-02	1.266119e+00	1.983095e+00	1.218516e+00	
3.490000e+00	4.760915e-01	3.369477e-01	9.855030e-02	1.280030e+00	1.995847e+00	1.218516e+00	
3.500000e+00	4.781705e-01	3.391516e-01	9.968348e-02	1.293845e+00	2.008512e+00	1.218516e+00	
3.510000e+00	4.802495e-01	3.413404e-01	1.008090e-01	1.307566e+00	2.021091e+00	1.218516e+00	
3.520000e+00	4.823285e-01	3.435141e-01	1.019268e-01	1.321194e+00	2.033585e+00	1.218516e+00	
3.530000e+00	4.844075e-01	3.456730e-01	1.030371e-01	1.334731e+00	2.045995e+00	1.218516e+00	
3.540000e+00	4.864865e-01	3.478172e-01	1.041400e-01	1.348176e+00	2.058321e+00	1.218516e+00	
3.550000e+00	4.885655e-01	3.499468e-01	1.052355e-01	1.361531e+00	2.070565e+00	1.218516e+00	
3.560000e+00	4.906445e-01	3.520621e-01	1.063236e-01	1.374797e+00	2.082727e+00	1.218516e+00	
3.570000e+00	4.927235e-01	3.541632e-01	1.074046e-01	1.387974e+00	2.094808e+00	1.218516e+00	
3.580000e+00	4.948025e-01	3.562501e-01	1.084783e-01	1.401064e+00	2.106809e+00	1.218516e+00	
3.590000e+00	4.968815e-01	3.583231e-01	1.095449e-01	1.414067e+00	2.118731e+00	1.218516e+00	
3.600000e+00	4.989605e-01	3.603823e-01	1.106046e-01	1.426985e+00	2.130574e+00	1.218516e+00	
3.610000e+00	5.010395e-01	3.624279e-01	1.116572e-01	1.439818e+00	2.142339e+00	1.218516e+00	
3.620000e+00	5.031185e-01	3.644600e-01	1.127030e-01	1.452566e+00	2.154027e+00	1.218516e+00	
