anm	anm	kod	nod	vud	mdflw	rbf	
9.290000e-01	1.934524e-01	2.605979e-01	5.658967e-02	7.713837e-01	1.290072e+00	1.340232e+00	
9.300000e-01	1.949405e-01	2.589007e-01	5.582119e-02	7.619022e-01	1.285789e+00	1.338013e+00	
9.310000e-01	1.964286e-01	2.572055e-01	5.505217e-02	7.524157e-01	1.281485e+00	1.335802e+00	
9.320000e-01	1.979167e-01	2.555123e-01	5.428260e-02	7.429242e-01	1.277161e+00	1.333598e+00	
9.330000e-01	1.994048e-01	2.538209e-01	5.351249e-02	7.334278e-01	1.272818e+00	1.331401e+00	
9.340000e-01	2.008929e-01	2.521315e-01	5.274184e-02	7.239264e-01	1.268455e+00	1.329212e+00	
9.350000e-01	2.023810e-01	2.504440e-01	5.197063e-02	7.144200e-01	1.264072e+00	1.327029e+00	
9.360000e-01	2.038690e-01	2.487583e-01	5.119889e-02	7.049085e-01	1.259670e+00	1.324854e+00	
9.370000e-01	2.053571e-01	2.470744e-01	5.042659e-02	6.953919e-01	1.255248e+00	1.322686e+00	
9.380000e-01	2.068452e-01	2.453922e-01	4.965375e-02	6.858702e-01	1.250806e+00	1.320525e+00	
9.390000e-01	2.083333e-01	2.437118e-01	4.888036e-02	6.763434e-01	1.246345e+00	1.318371e+00	
9.400000e-01	2.098214e-01	2.420330e-01	4.810642e-02	6.668114e-01	1.241865e+00	1.316224e+00	
9.410000e-01	2.113095e-01	2.403559e-01	4.733193e-02	6.572743e-01	1.237365e+00	1.314084e+00	
9.420000e-01	2.127976e-01	2.386804e-01	4.655689e-02	6.477319e-01	1.232846e+00	1.311951e+00	
9.430000e-01	2.142857e-01	2.370064e-01	4.578130e-02	6.381842e-01	1.228308e+00	1.309825e+00	
9.440000e-01	2.157738e-01	2.353339e-01	4.500516e-02	6.286313e-01	1.223751e+00	1.307706e+00	
9.450000e-01	2.172619e-01	2.336629e-01	4.422847e-02	6.190731e-01	1.219174e+00	1.305593e+00	
9.460000e-01	2.187500e-01	2.319932e-01	4.345122e-02	6.095094e-01	1.214579e+00	1.303488e+00	
9.470000e-01	2.202381e-01	2.303249e-01	4.267343e-02	5.999404e-01	1.209965e+00	1.301389e+00	
9.480000e-01	2.217262e-01	2.286579e-01	4.189508e-02	5.903660e-01	1.205331e+00	1.299297e+00	
9.490000e-01	2.232143e-01	2.269921e-01	4.111618e-02	5.807861e-01	1.200679e+00	1.297212e+00	
9.500000e-01	2.247024e-01	2.253275e-01	4.033672e-02	5.712006e-01	1.196008e+00	1.295133e+00	
9.510000e-01	2.261905e-01	2.236639e-01	3.955671e-02	5.616096e-01	1.191318e+00	1.293061e+00	
9.520000e-01	2.276786e-01	2.220014e-01	3.877614e-02	5.520130e-01	1.186609e+00	1.290996e+00	
9.530000e-01	2.291667e-01	2.203398e-01	3.799501e-02	5.424107e-01	1.181882e+00	1.288937e+00	
9.540000e-01	2.306548e-01	2.186790e-01	3.721333e-02	5.328027e-01	1.177136e+00	1.286885e+00	
9.550000e-01	2.321429e-01	2.170190e-01	3.643109e-02	5.231890e-01	1.172372e+00	1.284839e+00	
9.560000e-01	2.336310e-01	2.153597e-01	3.564830e-02	5.135694e-01	1.167589e+00	1.282800e+00	
9.570000e-01	2.351190e-01	2.137009e-01	3.486494e-02	5.039439e-01	1.162787e+00	1.280767e+00	
9.580000e-01	2.366071e-01	2.120426e-01	3.408103e-02	4.943125e-01	1.157967e+00	1.278741e+00	
9.590000e-01	2.380952e-01	2.103847e-01	3.329656e-02	4.846750e-01	1.153129e+00	1.276721e+00	
9.600000e-01	2.395833e-01	2.087270e-01	3.251152e-02	4.750315e-01	1.148273e+00	1.274707e+00	
9.610000e-01	2.410714e-01	2.070693e-01	3.172593e-02	4.653817e-01	1.143398e+00	1.272700e+00	
9.620000e-01	2.425595e-01	2.054116e-01	3.093977e-02	4.557257e-01	1.138505e+00	1.270699e+00	
9.630000e-01	2.440476e-01	2.037537e-01	3.015305e-02	4.460634e-01	1.133594e+00	1.268705e+00	
9.640000e-01	2.455357e-01	2.020955e-01	2.936577e-02	4.363945e-01	1.128665e+00	1.266716e+00	
9.650000e-01	2.470238e-01	2.004366e-01	2.857793e-02	4.267191e-01	1.123717e+00	1.264734e+00	
9.660000e-01	2.485119e-01	1.987770e-01	2.778952e-02	4.170371e-01	1.118752e+00	1.262758e+00	
9.670000e-01	2.500000e-01	1.971165e-01	2.700055e-02	4.073482e-01	1.113769e+00	1.260788e+00	
9.680000e-01	2.514881e-01	1.954547e-01	2.621101e-02	3.976523e-01	1.108768e+00	1.258825e+00	
9.690000e-01	2.529762e-01	1.937914e-01	2.542091e-02	3.879493e-01	1.103749e+00	1.256867e+00	
9.700000e-01	2.544643e-01	1.921264e-01	2.463024e-02	3.782391e-01	1.098712e+00	1.254916e+00	
9.710000e-01	2.559524e-01	1.904593e-01	2.383900e-02	3.685214e-01	1.093657e+00	1.252970e+00	
9.720000e-01	2.574405e-01	1.887897e-01	2.304720e-02	3.587961e-01	1.088585e+00	1.251031e+00	
9.730000e-01	2.589286e-01	1.871174e-01	2.225483e-02	3.490629e-01	1.083495e+00	1.249098e+00	
9.740000e-01	2.604167e-01	1.854418e-01	2.146189e-02	3.393216e-01	1.078387e+00	1.247170e+00	
9.750000e-01	2.619048e-01	1.837625e-01	2.066838e-02	3.295718e-01	1.073262e+00	1.245249e+00	
9.760000e-01	2.633929e-01	1.820789e-01	1.987430e-02	3.198134e-01	1.068119e+00	1.243333e+00	
9.770000e-01	2.648810e-01	1.803904e-01	1.907965e-02	3.100459e-01	1.062959e+00	1.241423e+00	
9.780000e-01	2.663690e-01	1.786963e-01	1.828443e-02	3.002690e-01	1.057781e+00	1.239520e+00	
9.790000e-01	2.678571e-01	1.769959e-01	1.748864e-02	2.904822e-01	1.052586e+00	1.237622e+00	
9.800000e-01	2.693452e-01	1.752883e-01	1.669227e-02	2.806850e-01	1.047374e+00	1.235729e+00	
9.810000e-01	2.708333e-01	1.735725e-01	1.589534e-02	2.708769e-01	1.042144e+00	1.233843e+00	
9.820000e-01	2.723214e-01	1.718472e-01	1.509783e-02	2.610572e-01	1.036897e+00	1.231962e+00	
9.830000e-01	2.738095e-01	1.701112e-01	1.429974e-02	2.512252e-01	1.031632e+00	1.230087e+00	
9.840000e-01	2.752976e-01	1.683629e-01	1.350108e-02	2.413799e-01	1.026351e+00	1.228218e+00	
9.850000e-01	2.767857e-01	1.666005e-01	1.270185e-02	2.315204e-01	1.021052e+00	1.226355e+00	
9.860000e-01	2.782738e-01	1.648218e-01	1.190204e-02	2.216455e-01	1.015737e+00	1.224497e+00	
9.870000e-01	2.797619e-01	1.626084e-01	1.110165e-02	2.115226e-01	1.010404e+00	1.222644e+00	
9.880000e-01	2.812500e-01	1.610555e-01	1.030069e-02	2.017603e-01	1.005054e+00	1.220798e+00	
9.890000e-01	2.827381e-01	1.595046e-01	9.499146e-03	1.944013e-01	9.996869e-01	1.218957e+00	
9.900000e-01	2.842262e-01	1.579556e-01	8.697027e-03	1.885984e-01	9.943031e-01	1.217121e+00	
9.910000e-01	2.857143e-01	1.564084e-01	7.894328e-03	1.827923e-01	9.889024e-01	1.215291e+00	
