anpx	anpx	kod	nod	vud	mdflw	rbf	
5.800000e-01	1.715527e-01	2.011724e-01	2.984246e-02	4.411783e-01	1.217603e+00	1.226234e+00	
5.900000e-01	1.726384e-01	2.023325e-01	3.043453e-02	4.484013e-01	1.223922e+00	1.226457e+00	
6.000000e-01	1.737242e-01	2.034916e-01	3.102677e-02	4.556256e-01	1.230244e+00	1.226680e+00	
6.100000e-01	1.748100e-01	2.046496e-01	3.161918e-02	4.628514e-01	1.236567e+00	1.226903e+00	
6.200000e-01	1.758958e-01	2.058068e-01	3.221176e-02	4.700785e-01	1.242892e+00	1.227126e+00	
6.300000e-01	1.769815e-01	2.069632e-01	3.280451e-02	4.773071e-01	1.249219e+00	1.227349e+00	
6.400000e-01	1.780673e-01	2.081187e-01	3.339744e-02	4.845371e-01	1.255548e+00	1.227572e+00	
6.500000e-01	1.791531e-01	2.092735e-01	3.399054e-02	4.917687e-01	1.261878e+00	1.227796e+00	
6.600000e-01	1.802389e-01	2.104275e-01	3.458382e-02	4.990018e-01	1.268210e+00	1.228019e+00	
6.700000e-01	1.813246e-01	2.115810e-01	3.517727e-02	5.062364e-01	1.274544e+00	1.228243e+00	
6.800000e-01	1.824104e-01	2.127338e-01	3.577089e-02	5.134727e-01	1.280880e+00	1.228466e+00	
6.900000e-01	1.834962e-01	2.138860e-01	3.636468e-02	5.207105e-01	1.287218e+00	1.228690e+00	
7.000000e-01	1.845820e-01	2.150377e-01	3.695865e-02	5.279500e-01	1.293558e+00	1.228914e+00	
7.100000e-01	1.856678e-01	2.161888e-01	3.755279e-02	5.351911e-01	1.299899e+00	1.229137e+00	
7.200000e-01	1.867535e-01	2.173395e-01	3.814711e-02	5.424339e-01	1.306243e+00	1.229361e+00	
7.300000e-01	1.878393e-01	2.184898e-01	3.874160e-02	5.496784e-01	1.312588e+00	1.229585e+00	
7.400000e-01	1.889251e-01	2.196396e-01	3.933626e-02	5.569246e-01	1.318935e+00	1.229809e+00	
7.500000e-01	1.900109e-01	2.207891e-01	3.993110e-02	5.641725e-01	1.325283e+00	1.230033e+00	
7.600000e-01	1.910966e-01	2.219382e-01	4.052612e-02	5.714221e-01	1.331634e+00	1.230258e+00	
7.700000e-01	1.921824e-01	2.230870e-01	4.112130e-02	5.786735e-01	1.337987e+00	1.230482e+00	
7.800000e-01	1.932682e-01	2.242355e-01	4.171666e-02	5.859267e-01	1.344341e+00	1.230706e+00	
7.900000e-01	1.943540e-01	2.253836e-01	4.231220e-02	5.931816e-01	1.350697e+00	1.230931e+00	
