aum	aum	kod	nod	vud	mdflw	rbf	
1.990000e-01	9.945027e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.000000e-01	9.995002e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.010000e-01	1.004498e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.020000e-01	1.009495e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.030000e-01	1.014493e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.040000e-01	1.019490e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.050000e-01	1.024488e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.060000e-01	1.029485e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.070000e-01	1.034483e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.080000e-01	1.039480e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.090000e-01	1.044478e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.100000e-01	1.049475e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.110000e-01	1.054473e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.120000e-01	1.059470e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.130000e-01	1.064468e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.140000e-01	1.069465e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.150000e-01	1.074463e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.160000e-01	1.079460e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.170000e-01	1.084458e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.180000e-01	1.089455e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.190000e-01	1.094453e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.200000e-01	1.099450e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.210000e-01	1.104448e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.220000e-01	1.109445e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.230000e-01	1.114443e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.240000e-01	1.119440e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.250000e-01	1.124438e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.260000e-01	1.129435e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.270000e-01	1.134433e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.280000e-01	1.139430e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.290000e-01	1.144428e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
2.300000e-01	1.149425e-01	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
