cke	cke	kod	nod	vud	mdflw	rbf	
4.330000e+00	5.298805e-01	1.416623e-01	9.306690e-03	1.872459e-01	9.983964e-01	1.218516e+00	
4.340000e+00	5.338645e-01	1.432591e-01	9.306690e-03	1.877727e-01	9.983964e-01	1.218516e+00	
4.350000e+00	5.378486e-01	1.448661e-01	9.306690e-03	1.883028e-01	9.983964e-01	1.218516e+00	
4.360000e+00	5.418327e-01	1.464835e-01	9.306690e-03	1.888363e-01	9.983964e-01	1.218516e+00	
4.370000e+00	5.458167e-01	1.481111e-01	9.306690e-03	1.893732e-01	9.983964e-01	1.218516e+00	
4.380000e+00	5.498008e-01	1.497491e-01	9.306690e-03	1.899135e-01	9.983964e-01	1.218516e+00	
4.390000e+00	5.537849e-01	1.513975e-01	9.306690e-03	1.904573e-01	9.983964e-01	1.218516e+00	
4.400000e+00	5.577689e-01	1.530564e-01	9.306690e-03	1.910045e-01	9.983964e-01	1.218516e+00	
4.410000e+00	5.617530e-01	1.547258e-01	9.306690e-03	1.915552e-01	9.983964e-01	1.218516e+00	
4.420000e+00	5.657371e-01	1.564057e-01	9.306690e-03	1.921093e-01	9.983964e-01	1.218516e+00	
4.430000e+00	5.697211e-01	1.580962e-01	9.306690e-03	1.926670e-01	9.983964e-01	1.218516e+00	
4.440000e+00	5.737052e-01	1.597974e-01	9.306690e-03	1.932282e-01	9.983964e-01	1.218516e+00	
4.450000e+00	5.776892e-01	1.615093e-01	9.306690e-03	1.937929e-01	9.983964e-01	1.218516e+00	
4.460000e+00	5.816733e-01	1.632319e-01	9.306690e-03	1.943611e-01	9.983964e-01	1.218516e+00	
4.470000e+00	5.856574e-01	1.649654e-01	9.306690e-03	1.949329e-01	9.983964e-01	1.218516e+00	
4.480000e+00	5.896414e-01	1.667096e-01	9.306690e-03	1.955083e-01	9.983964e-01	1.218516e+00	
4.490000e+00	5.936255e-01	1.684648e-01	9.306690e-03	1.960873e-01	9.983964e-01	1.218516e+00	
4.500000e+00	5.976096e-01	1.702309e-01	9.306690e-03	1.966699e-01	9.983964e-01	1.218516e+00	
4.510000e+00	6.015936e-01	1.720080e-01	9.306690e-03	1.972561e-01	9.983964e-01	1.218516e+00	
4.520000e+00	6.055777e-01	1.737962e-01	9.306690e-03	1.978459e-01	9.983964e-01	1.218516e+00	
4.530000e+00	6.095618e-01	1.755954e-01	9.306690e-03	1.987936e-01	9.983964e-01	1.218516e+00	
4.540000e+00	6.135458e-01	1.774057e-01	9.306690e-03	1.997994e-01	9.983964e-01	1.218516e+00	
4.550000e+00	6.175299e-01	1.792273e-01	9.306690e-03	2.008113e-01	9.983964e-01	1.218516e+00	
4.560000e+00	6.215139e-01	1.810601e-01	9.306690e-03	2.018295e-01	9.983964e-01	1.218516e+00	
4.570000e+00	6.254980e-01	1.829042e-01	9.306690e-03	2.028540e-01	9.983964e-01	1.218516e+00	
4.580000e+00	6.294821e-01	1.847596e-01	9.306690e-03	2.038848e-01	9.983964e-01	1.218516e+00	
4.590000e+00	6.334661e-01	1.866264e-01	9.306690e-03	2.049219e-01	9.983964e-01	1.218516e+00	
4.600000e+00	6.374502e-01	1.885046e-01	9.306690e-03	2.059654e-01	9.983964e-01	1.218516e+00	
4.610000e+00	6.414343e-01	1.903943e-01	9.306690e-03	2.070152e-01	9.983964e-01	1.218516e+00	
4.620000e+00	6.454183e-01	1.922955e-01	9.306690e-03	2.080715e-01	9.983964e-01	1.218516e+00	
4.630000e+00	6.494024e-01	1.942084e-01	9.306690e-03	2.091341e-01	9.983964e-01	1.218516e+00	
4.640000e+00	6.533865e-01	1.961328e-01	9.306690e-03	2.102033e-01	9.983964e-01	1.218516e+00	
4.650000e+00	6.573705e-01	1.980690e-01	9.306690e-03	2.112789e-01	9.983964e-01	1.218516e+00	
4.660000e+00	6.613546e-01	2.000169e-01	9.306690e-03	2.123611e-01	9.983964e-01	1.218516e+00	
4.670000e+00	6.653386e-01	2.007886e-01	9.306690e-03	2.127898e-01	9.983964e-01	1.218516e+00	
4.680000e+00	6.693227e-01	2.027207e-01	9.306690e-03	2.138632e-01	9.983964e-01	1.218516e+00	
4.690000e+00	6.733068e-01	2.046649e-01	9.306690e-03	2.149433e-01	9.983964e-01	1.218516e+00	
4.700000e+00	6.772908e-01	2.066212e-01	9.306690e-03	2.160301e-01	9.983964e-01	1.218516e+00	
4.710000e+00	6.812749e-01	2.085896e-01	9.306690e-03	2.171237e-01	9.983964e-01	1.218516e+00	
4.720000e+00	6.852590e-01	2.105703e-01	9.306690e-03	2.182241e-01	9.983964e-01	1.218516e+00	
4.730000e+00	6.892430e-01	2.125632e-01	9.306690e-03	2.193312e-01	9.983964e-01	1.218516e+00	
4.740000e+00	6.932271e-01	2.145684e-01	9.306690e-03	2.204453e-01	9.983964e-01	1.218516e+00	
4.750000e+00	6.972112e-01	2.165859e-01	9.306690e-03	2.215661e-01	9.983964e-01	1.218516e+00	
4.760000e+00	7.011952e-01	2.186159e-01	9.306690e-03	2.226939e-01	9.983964e-01	1.218516e+00	
4.770000e+00	7.051793e-01	2.206584e-01	9.306690e-03	2.238286e-01	9.983964e-01	1.218516e+00	
4.780000e+00	7.091633e-01	2.227133e-01	9.306690e-03	2.249702e-01	9.983964e-01	1.218516e+00	
4.790000e+00	7.131474e-01	2.247808e-01	9.306690e-03	2.261189e-01	9.983964e-01	1.218516e+00	
4.800000e+00	7.171315e-01	2.268610e-01	9.306690e-03	2.272745e-01	9.983964e-01	1.218516e+00	
4.810000e+00	7.211155e-01	2.289538e-01	9.306690e-03	2.284372e-01	9.983964e-01	1.218516e+00	
4.820000e+00	7.250996e-01	2.310594e-01	9.306690e-03	2.296069e-01	9.983964e-01	1.218516e+00	
4.830000e+00	7.290837e-01	2.331777e-01	9.306690e-03	2.307837e-01	9.983964e-01	1.218516e+00	
4.840000e+00	7.330677e-01	2.353088e-01	9.306690e-03	2.319677e-01	9.983964e-01	1.218516e+00	
4.850000e+00	7.370518e-01	2.374528e-01	9.306690e-03	2.331588e-01	9.983964e-01	1.218516e+00	
4.860000e+00	7.410359e-01	2.396098e-01	9.306690e-03	2.343571e-01	9.983964e-01	1.218516e+00	
4.870000e+00	7.450199e-01	2.417797e-01	9.306690e-03	2.355627e-01	9.983964e-01	1.218516e+00	
4.880000e+00	7.490040e-01	2.439627e-01	9.306690e-03	2.367754e-01	9.983964e-01	1.218516e+00	
4.890000e+00	7.529880e-01	2.461588e-01	9.306690e-03	2.379955e-01	9.983964e-01	1.218516e+00	
4.900000e+00	7.569721e-01	2.483680e-01	9.306690e-03	2.392228e-01	9.983964e-01	1.218516e+00	
4.910000e+00	7.609562e-01	2.505904e-01	9.306690e-03	2.404575e-01	9.983964e-01	1.218516e+00	
4.920000e+00	7.649402e-01	2.528260e-01	9.306690e-03	2.416995e-01	9.983964e-01	1.218516e+00	
4.930000e+00	7.689243e-01	2.550750e-01	9.306690e-03	2.429489e-01	9.983964e-01	1.218516e+00	
4.940000e+00	7.729084e-01	2.573373e-01	9.306690e-03	2.442058e-01	9.983964e-01	1.218516e+00	
4.950000e+00	7.768924e-01	2.596130e-01	9.306690e-03	2.454700e-01	9.983964e-01	1.218516e+00	
4.960000e+00	7.808765e-01	2.619022e-01	9.306690e-03	2.467418e-01	9.983964e-01	1.218516e+00	
4.970000e+00	7.848606e-01	2.642049e-01	9.306690e-03	2.480211e-01	9.983964e-01	1.218516e+00	
4.980000e+00	7.888446e-01	2.665211e-01	9.306690e-03	2.493079e-01	9.983964e-01	1.218516e+00	
4.990000e+00	7.928287e-01	2.688510e-01	9.306690e-03	2.506023e-01	9.983964e-01	1.218516e+00	
5.000000e+00	7.968127e-01	2.711946e-01	9.306690e-03	2.519043e-01	9.983964e-01	1.218516e+00	
