amna	amna	kod	nod	vud	mdflw	rbf	
1.570000e-01	7.846077e-02	1.647733e-01	6.740190e-02	8.382836e-01	9.983964e-01	1.218516e+00	
1.580000e-01	7.896052e-02	1.647718e-01	6.733760e-02	8.375683e-01	9.983964e-01	1.218516e+00	
1.590000e-01	7.946027e-02	1.647703e-01	6.727330e-02	8.368531e-01	9.983964e-01	1.218516e+00	
1.600000e-01	7.996002e-02	1.647689e-01	6.720900e-02	8.361378e-01	9.983964e-01	1.218516e+00	
1.610000e-01	8.045977e-02	1.647674e-01	6.714470e-02	8.354225e-01	9.983964e-01	1.218516e+00	
1.620000e-01	8.095952e-02	1.647659e-01	6.708040e-02	8.347073e-01	9.983964e-01	1.218516e+00	
1.630000e-01	8.145927e-02	1.647644e-01	6.701610e-02	8.339920e-01	9.983964e-01	1.218516e+00	
1.640000e-01	8.195902e-02	1.647629e-01	6.695180e-02	8.332767e-01	9.983964e-01	1.218516e+00	
1.650000e-01	8.245877e-02	1.647614e-01	6.688750e-02	8.325614e-01	9.983964e-01	1.218516e+00	
1.660000e-01	8.295852e-02	1.647599e-01	6.682319e-02	8.318462e-01	9.983964e-01	1.218516e+00	
1.670000e-01	8.345827e-02	1.647584e-01	6.675889e-02	8.311309e-01	9.983964e-01	1.218516e+00	
1.680000e-01	8.395802e-02	1.647569e-01	6.669459e-02	8.304156e-01	9.983964e-01	1.218516e+00	
1.690000e-01	8.445777e-02	1.647554e-01	6.663029e-02	8.297003e-01	9.983964e-01	1.218516e+00	
1.700000e-01	8.495752e-02	1.647539e-01	6.656599e-02	8.289850e-01	9.983964e-01	1.218516e+00	
1.710000e-01	8.545727e-02	1.647524e-01	6.650169e-02	8.282698e-01	9.983964e-01	1.218516e+00	
1.720000e-01	8.595702e-02	1.647509e-01	6.643739e-02	8.275545e-01	9.983964e-01	1.218516e+00	
1.730000e-01	8.645677e-02	1.647494e-01	6.637309e-02	8.268392e-01	9.983964e-01	1.218516e+00	
1.740000e-01	8.695652e-02	1.647479e-01	6.630879e-02	8.261239e-01	9.983964e-01	1.218516e+00	
1.750000e-01	8.745627e-02	1.647464e-01	6.624449e-02	8.254086e-01	9.983964e-01	1.218516e+00	
1.760000e-01	8.795602e-02	1.647448e-01	6.618019e-02	8.246933e-01	9.983964e-01	1.218516e+00	
1.770000e-01	8.845577e-02	1.647433e-01	6.611589e-02	8.239780e-01	9.983964e-01	1.218516e+00	
1.780000e-01	8.895552e-02	1.647418e-01	6.605159e-02	8.232627e-01	9.983964e-01	1.218516e+00	
1.790000e-01	8.945527e-02	1.647403e-01	6.598729e-02	8.225474e-01	9.983964e-01	1.218516e+00	
1.800000e-01	8.995502e-02	1.647387e-01	6.592299e-02	8.218321e-01	9.983964e-01	1.218516e+00	
1.810000e-01	9.045477e-02	1.647372e-01	6.585869e-02	8.211168e-01	9.983964e-01	1.218516e+00	
1.820000e-01	9.095452e-02	1.647357e-01	6.579439e-02	8.204015e-01	9.983964e-01	1.218516e+00	
1.830000e-01	9.145427e-02	1.647341e-01	6.573009e-02	8.196862e-01	9.983964e-01	1.218516e+00	
1.840000e-01	9.195402e-02	1.647326e-01	6.566579e-02	8.189709e-01	9.983964e-01	1.218516e+00	
1.850000e-01	9.245377e-02	1.647310e-01	6.560149e-02	8.182556e-01	9.983964e-01	1.218516e+00	
1.860000e-01	9.295352e-02	1.647295e-01	6.553719e-02	8.175403e-01	9.983964e-01	1.218516e+00	
1.870000e-01	9.345327e-02	1.647279e-01	6.547289e-02	8.168250e-01	9.983964e-01	1.218516e+00	
1.880000e-01	9.395302e-02	1.647264e-01	6.540859e-02	8.161097e-01	9.983964e-01	1.218516e+00	
1.890000e-01	9.445277e-02	1.647248e-01	6.534429e-02	8.153944e-01	9.983964e-01	1.218516e+00	
1.900000e-01	9.495252e-02	1.647233e-01	6.527999e-02	8.146791e-01	9.983964e-01	1.218516e+00	
1.910000e-01	9.545227e-02	1.647217e-01	6.521569e-02	8.139638e-01	9.983964e-01	1.218516e+00	
1.920000e-01	9.595202e-02	1.647201e-01	6.515139e-02	8.132485e-01	9.983964e-01	1.218516e+00	
1.930000e-01	9.645177e-02	1.647186e-01	6.508709e-02	8.125331e-01	9.983964e-01	1.218516e+00	
1.940000e-01	9.695152e-02	1.647170e-01	6.502279e-02	8.118178e-01	9.983964e-01	1.218516e+00	
1.950000e-01	9.745127e-02	1.647154e-01	6.495849e-02	8.111025e-01	9.983964e-01	1.218516e+00	
1.960000e-01	9.795102e-02	1.647139e-01	6.489419e-02	8.103872e-01	9.983964e-01	1.218516e+00	
1.970000e-01	9.845077e-02	1.647123e-01	6.482989e-02	8.096719e-01	9.983964e-01	1.218516e+00	
1.980000e-01	9.895052e-02	1.647107e-01	6.476559e-02	8.089565e-01	9.983964e-01	1.218516e+00	
1.990000e-01	9.945027e-02	1.647091e-01	6.470129e-02	8.082412e-01	9.983964e-01	1.218516e+00	
2.000000e-01	9.995002e-02	1.647075e-01	6.463699e-02	8.075259e-01	9.983964e-01	1.218516e+00	
2.010000e-01	1.004498e-01	1.647059e-01	6.457269e-02	8.068106e-01	9.983964e-01	1.218516e+00	
2.020000e-01	1.009495e-01	1.647043e-01	6.450839e-02	8.060952e-01	9.983964e-01	1.218516e+00	
2.030000e-01	1.014493e-01	1.647028e-01	6.444409e-02	8.053799e-01	9.983964e-01	1.218516e+00	
2.040000e-01	1.019490e-01	1.647012e-01	6.437979e-02	8.046646e-01	9.983964e-01	1.218516e+00	
2.050000e-01	1.024488e-01	1.646996e-01	6.431549e-02	8.039492e-01	9.983964e-01	1.218516e+00	
2.060000e-01	1.029485e-01	1.646980e-01	6.425119e-02	8.032339e-01	9.983964e-01	1.218516e+00	
2.070000e-01	1.034483e-01	1.646963e-01	6.418689e-02	8.025185e-01	9.983964e-01	1.218516e+00	
2.080000e-01	1.039480e-01	1.646947e-01	6.412259e-02	8.018032e-01	9.983964e-01	1.218516e+00	
2.090000e-01	1.044478e-01	1.646931e-01	6.405829e-02	8.010879e-01	9.983964e-01	1.218516e+00	
2.100000e-01	1.049475e-01	1.646915e-01	6.399399e-02	8.003725e-01	9.983964e-01	1.218516e+00	
2.110000e-01	1.054473e-01	1.646899e-01	6.392969e-02	7.996572e-01	9.983964e-01	1.218516e+00	
2.120000e-01	1.059470e-01	1.646883e-01	6.386539e-02	7.989418e-01	9.983964e-01	1.218516e+00	
2.130000e-01	1.064468e-01	1.646866e-01	6.380109e-02	7.982265e-01	9.983964e-01	1.218516e+00	
2.140000e-01	1.069465e-01	1.646850e-01	6.373679e-02	7.975111e-01	9.983964e-01	1.218516e+00	
2.150000e-01	1.074463e-01	1.646834e-01	6.367249e-02	7.967958e-01	9.983964e-01	1.218516e+00	
2.160000e-01	1.079460e-01	1.646818e-01	6.360819e-02	7.960804e-01	9.983964e-01	1.218516e+00	
2.170000e-01	1.084458e-01	1.646801e-01	6.354389e-02	7.953651e-01	9.983964e-01	1.218516e+00	
2.180000e-01	1.089455e-01	1.646785e-01	6.347959e-02	7.946497e-01	9.983964e-01	1.218516e+00	
2.190000e-01	1.094453e-01	1.646768e-01	6.341529e-02	7.939344e-01	9.983964e-01	1.218516e+00	
2.200000e-01	1.099450e-01	1.646752e-01	6.335099e-02	7.932190e-01	9.983964e-01	1.218516e+00	
2.210000e-01	1.104448e-01	1.646736e-01	6.328669e-02	7.925036e-01	9.983964e-01	1.218516e+00	
2.220000e-01	1.109445e-01	1.646719e-01	6.322239e-02	7.917883e-01	9.983964e-01	1.218516e+00	
2.230000e-01	1.114443e-01	1.646703e-01	6.315809e-02	7.910729e-01	9.983964e-01	1.218516e+00	
2.240000e-01	1.119440e-01	1.646686e-01	6.309378e-02	7.903575e-01	9.983964e-01	1.218516e+00	
2.250000e-01	1.124438e-01	1.646669e-01	6.302948e-02	7.896422e-01	9.983964e-01	1.218516e+00	
2.260000e-01	1.129435e-01	1.646653e-01	6.296518e-02	7.889268e-01	9.983964e-01	1.218516e+00	
2.270000e-01	1.134433e-01	1.646636e-01	6.290088e-02	7.882114e-01	9.983964e-01	1.218516e+00	
2.280000e-01	1.139430e-01	1.646619e-01	6.283658e-02	7.874961e-01	9.983964e-01	1.218516e+00	
2.290000e-01	1.144428e-01	1.646603e-01	6.277228e-02	7.867807e-01	9.983964e-01	1.218516e+00	
2.300000e-01	1.149425e-01	1.646586e-01	6.270798e-02	7.860653e-01	9.983964e-01	1.218516e+00	
2.310000e-01	1.154423e-01	1.646569e-01	6.264368e-02	7.853499e-01	9.983964e-01	1.218516e+00	
2.320000e-01	1.159420e-01	1.646552e-01	6.257938e-02	7.846345e-01	9.983964e-01	1.218516e+00	
2.330000e-01	1.164418e-01	1.646536e-01	6.251508e-02	7.839192e-01	9.983964e-01	1.218516e+00	
2.340000e-01	1.169415e-01	1.646519e-01	6.245078e-02	7.832038e-01	9.983964e-01	1.218516e+00	
2.350000e-01	1.174413e-01	1.646502e-01	6.238648e-02	7.824884e-01	9.983964e-01	1.218516e+00	
2.360000e-01	1.179410e-01	1.646485e-01	6.232218e-02	7.817730e-01	9.983964e-01	1.218516e+00	
2.370000e-01	1.184408e-01	1.646468e-01	6.225788e-02	7.810576e-01	9.983964e-01	1.218516e+00	
2.380000e-01	1.189405e-01	1.646451e-01	6.219358e-02	7.803422e-01	9.983964e-01	1.218516e+00	
2.390000e-01	1.194403e-01	1.646434e-01	6.212928e-02	7.796268e-01	9.983964e-01	1.218516e+00	
2.400000e-01	1.199400e-01	1.646417e-01	6.206498e-02	7.789114e-01	9.983964e-01	1.218516e+00	
2.410000e-01	1.204398e-01	1.646400e-01	6.200068e-02	7.781961e-01	9.983964e-01	1.218516e+00	
2.420000e-01	1.209395e-01	1.646383e-01	6.193638e-02	7.774807e-01	9.983964e-01	1.218516e+00	
